Rate	100.00
Rate Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
1000	1.000000	5.000000	1000	1.000000	1.000000	1.000000	
1000	1.000000	5.000000	1000	1.000000	1.000000	1.000000	
1000	1.000000	5.000000	1000	1.000000	1.000000	1.000000	
1000	1.000000	5.000000	1000	1.000000	1.000000	1.000000	
1000	1.000000	5.000000	1000	1.000000	1.000000	1.000000	
1000	1.000000	5.000000	1000	1.000000	1.000000	1.000000	
1000	1.000000	5.000000	1000	1.000000	1.000000	1.000000	
1000	1.000000	5.000000	1000	1.000000	1.000000	1.000000	
1000	1.000000	5.000000	1000	1.000000	1.000000	1.000000	
1000	1.000000	5.000000	1000	1.000000	1.000000	1.000000	
1000	1.000000	5.000000	1000	1.000000	1.000000	1.000000	
1000	1.000000	5.000000	1000	1.000000	1.000000	1.000000	
1000	1.000000	5.000000	1000	1.000000	1.000000	1.000000	
1000	1.000000	5.000000	1000	1.000000	1.000000	1.000000	
1000	1.000000	5.000000	1000	1.000000	1.000000	1.000000	
1000	1.000000	5.000000	1000	1.000000	1.000000	1.000000	
1000	1.000000	5.000000	1000	1.000000	1.000000	1.000000	
1000	1.000000	5.000000	1000	1.000000	1.000000	1.000000	
1000	1.000000	5.000000	1000	1.000000	1.000000	1.000000	
1000	1.000000	5.000000	1000	1.000000	1.000000	1.000000	
1000	1.000000	5.000000	1000	1.000000	1.000000	1.000000	
1000	1.000000	5.000000	1000	1.000000	1.000000	1.000000	
1000	1.000000	5.000000	1000	1.000000	1.000000	1.000000	
1000	1.000000	5.000000	1000	1.000000	1.000000	1.000000	
1000	1.000000	5.000000	1000	1.000000	1.000000	1.000000	
1000	1.000000	5.000000	1000	1.000000	1.000000	1.000000	
